Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,Band Gap
TePd3,Cubic,Fm-3m,225,4,0.058985559,-0.212624788,FALSE,69.06521207,10.74388198,FALSE,TRUE,NM,0,0
PrTe,Cubic,Fm-3m,225,2,0,-1.673009336,TRUE,65.97169256,6.758466021,FALSE,TRUE,NM,1.50E-05,0
InTe,Cubic,Fm-3m,225,2,0.035727497,-0.387593595,FALSE,60.73260156,6.628146154,FALSE,TRUE,NM,0,0
GeTe,Cubic,Fm-3m,225,2,0.0203087,-0.015159295,FALSE,54.23188312,6.131196697,TRUE,FALSE,NM,0.0004342,0.4068
Na2Te,Cubic,Fm-3m,225,3,0,-1.12780262,TRUE,95.90002973,3.005584104,TRUE,FALSE,NM,0,2.0282
SmTe,Cubic,Fm-3m,225,2,0,-1.614376085,TRUE,61.99665347,7.444973448,FALSE,TRUE,NM,1.60E-06,0
Rb2Te,Cubic,Fm-3m,225,3,0,-1.137773644,TRUE,156.9269236,3.158986459,FALSE,FALSE,NM,0,1.8766
EuTe,Cubic,Fm-3m,225,2,0,-1.992580248,TRUE,70.88696601,6.548833583,FALSE,TRUE,FM,6.9999301,0
BiTe,Cubic,Fm-3m,225,2,0.104258558,-0.124408946,FALSE,68.86661599,8.115759649,FALSE,TRUE,NM,1.40E-05,0
NdTe,Cubic,Fm-3m,225,2,0,-1.661850324,TRUE,64.45385309,7.003526388,FALSE,TRUE,NM,3.27E-05,0
GdTe,Cubic,Fm-3m,225,2,0.064618485,-1.537004795,FALSE,60.33058402,7.84021174,FALSE,TRUE,FM,7.1208083,0
NpTe,Cubic,Fm-3m,225,2,0.044479183,-0.790941188,FALSE,61.86715556,9.786009041,FALSE,TRUE,FM,4.5882661,0
HoTe,Cubic,Fm-3m,225,2,0,-1.451687583,TRUE,57.06508337,8.512351089,FALSE,TRUE,NM,1.20E-06,0
ZnTe,Cubic,Fm-3m,225,2,0.288552085,-0.395610948,FALSE,48.03779386,6.671808985,FALSE,TRUE,NM,1.30E-06,0
TeO6,Cubic,Fd-3c,228,56,0.760201066,-0.006473873,FALSE,749.1186443,3.965092154,FALSE,TRUE,FM,12.0011859,0
Te2Ir,Cubic,Pa-3,205,12,0.07223242,-0.29428726,FALSE,280.0632256,10.61122403,FALSE,TRUE,NM,0.0014467,0
FeTe2,Cubic,Pa-3,205,12,0.044909698,-0.417085378,FALSE,246.6483028,8.376337775,FALSE,TRUE,NM,0.0002842,0
NiTe2,Cubic,Pa-3,205,12,0.069979688,-0.155358548,FALSE,260.2239013,8.01205809,FALSE,TRUE,NM,0,0
CuTe2,Cubic,Pa-3,205,12,0.052834793,-0.003301625,FALSE,292.5268978,7.237490834,FALSE,TRUE,NM,1.60E-06,0
CoTe2,Cubic,Pa-3,205,12,0.023586296,-0.161293866,FALSE,257.5052655,8.102831473,FALSE,TRUE,FM,3.8913811,0
